Site,Cluster Number,Color,Pattern,Predation,Predator,Number Bite Marks,Location Bite Marks,Days from Start,Month,Model ID
BH,1.1,Green,Solid,0,none,none,none,7,late July,2
BH,1.2,Red,Solid,0,none,none,none,7,late July,5
BH,1.2,Green,Solid,1,arthropod,three,end,7,late July,6
BH,1.2,Red,Pattern,0,none,none,none,7,late July,7
BH,1.3,Red,Solid,1,arthropod,one,end,7,late July,9
BH,1.3,Green,Solid,1,arthropod,one,end,7,late July,10
BH,1.3,Red,Pattern,0,unknown,two,end,7,late July,11
BH,1.4,Green,Solid,0,none,none,none,7,late July,14
BH,1.4,Red,Pattern,0,none,none,none,7,late July,15
BH,1.5,Red,Solid,0,none,none,none,7,late July,17
BH,1.5,Red,Pattern,0,none,none,none,7,late July,19
BH,1.6,Red,Solid,0,none,none,none,7,late July,21
BH,1.6,Green,Solid,1,arthropod,one,end,7,late July,22
BH,1.6,Green,Pattern,0,none,none,none,7,late July,24
BH,1.7,Red,Solid,0,none,none,none,7,late July,25
BH,1.7,Green,Solid,1,arthropod,twp,middle,7,late July,26
BH,1.7,Red,Pattern,0,none,none,none,7,late July,27
BH,1.8,Red,Solid,1,arthropod,two,end,7,late July,29
BH,1.8,Green,Solid,0,none,none,none,7,late July,30
BH,1.8,Red,Pattern,0,none,none,none,7,late July,31
BH,1.9,Red,Solid,1,arthropod,one,end,7,late July,33
BH,1.9,Green,Solid,0,none,none,none,7,late July,34
BH,1.9,Red,Pattern,0,none,none,none,7,late July,35
BH,1.1,Red,Solid,0,none,none,none,7,late July,37
BH,1.1,Green,Solid,0,none,none,none,7,late July,38
BH,1.1,Red,Pattern,0,none,none,none,7,late July,39
BH,1.11,Red,Solid,0,none,none,none,7,late July,41
BH,1.11,Green,Solid,0,none,none,none,7,late July,42
BH,1.12,Red,Solid,0,none,none,none,7,late July,45
BH,1.12,Green,Solid,0,none,none,none,7,late July,46
BH,1.12,Red,Pattern,0,none,none,none,7,late July,47
BH,1.13,Red,Solid,0,none,none,none,7,late July,49
BH,1.13,Green,Solid,0,none,none,none,7,late July,50
BH,1.13,Red,Pattern,0,none,none,none,7,late July,51
BH,1.14,Red,Solid,0,none,none,none,7,late July,53
BH,1.14,Green,Solid,0,none,none,none,7,late July,54
BH,1.14,Red,Pattern,0,none,none,none,7,late July,55
GB,2.1,Red,Solid,1,arthropod,three,middle,7,late July,57
GB,2.1,Green,Solid,0,none,none,none,7,late July,58
GB,2.1,Red,Pattern,0,none,none,none,7,late July,59
GB,2.2,Green,Solid,0,none,none,none,7,late July,62
GB,2.2,Red,Pattern,0,none,none,none,7,late July,63
GB,2.3,Red,Solid,0,none,none,none,7,late July,65
GB,2.3,Green,Solid,0,unknown,one,middle,7,late July,66
GB,2.3,Red,Pattern,0,none,none,none,7,late July,67
GB,2.3,Green,Pattern,0,unknown,three,middle,7,late July,68
GB,2.4,Red,Solid,0,unknown,three,middle,7,late July,69
GB,2.4,Green,Solid,1,arthropod,two,middle,7,late July,70
GB,2.4,Red,Pattern,0,none,none,none,7,late July,71
GB,2.5,Red,Solid,0,none,none,none,7,late July,73
GB,2.5,Green,Solid,0,none,none,none,7,late July,74
GB,2.5,Red,Pattern,0,none,none,none,7,late July,75
GB,2.6,Red,Solid,0,none,none,none,7,late July,77
GB,2.6,Green,Solid,1,arthropod,one,middle,7,late July,78
GB,2.7,Red,Solid,0,none,none,none,7,late July,81
GB,2.7,Green,Solid,0,none,none,none,7,late July,82
GB,2.7,Red,Pattern,0,none,none,none,7,late July,83
GB,2.7,Green,Pattern,0,none,none,none,7,late July,84
GB,2.8,Red,Solid,0,none,none,none,7,late July,85
GB,2.8,Green,Solid,0,none,none,none,7,late July,86
GB,2.8,Red,Pattern,0,none,none,none,7,late July,87
GB,2.8,Green,Pattern,0,none,none,none,7,late July,88
GB,2.9,Red,Solid,0,none,none,none,7,late July,89
GB,2.9,Green,Solid,0,none,none,none,7,late July,90
GB,2.9,Red,Pattern,0,none,none,none,7,late July,91
GB,2.1,Red,Solid,0,unknown,two,middle,7,late July,93
GB,2.1,Red,Pattern,1,arthropod,two,middle,7,late July,95
GB,2.11,Red,Solid,0,none,none,none,7,late July,97
GB,2.11,Green,Solid,0,none,none,none,7,late July,98
GB,2.11,Red,Pattern,0,none,none,none,7,late July,99
GB,2.12,Red,Solid,0,none,none,none,7,late July,101
GB,2.12,Green,Solid,0,none,none,none,7,late July,102
GB,2.12,Red,Pattern,0,none,none,none,7,late July,103
GB,2.13,Red,Solid,0,none,none,none,7,late July,105
GB,2.13,Green,Solid,0,none,none,none,7,late July,106
GB,2.13,Red,Pattern,0,none,none,none,7,late July,107
GB,2.14,Green,Solid,0,none,none,none,7,late July,110
GB,2.14,Red,Pattern,0,none,none,none,7,late July,111
GB,2.14,Green,Pattern,0,none,none,none,7,late July,112
BP,3.1,Red,Solid,0,none,none,none,7,late July,113
BP,3.1,Green,Solid,0,none,none,none,7,late July,114
BP,3.1,Red,Pattern,0,none,none,none,7,late July,115
BP,3.2,Red,Solid,0,none,none,none,7,late July,117
BP,3.2,Green,Solid,0,none,none,none,7,late July,118
BP,3.2,Red,Pattern,0,none,none,none,7,late July,119
BP,3.3,Red,Solid,0,none,none,none,7,late July,121
BP,3.3,Green,Solid,0,none,none,none,7,late July,122
BP,3.3,Red,Pattern,0,none,none,none,7,late July,123
BP,3.4,Green,Solid,0,none,none,none,7,late July,126
BP,3.4,Green,Pattern,0,none,none,none,7,late July,128
BP,3.5,Red,Solid,0,none,none,none,7,late July,129
BP,3.5,Green,Solid,0,none,none,none,7,late July,130
BP,3.5,Red,Pattern,1,arthropod,two,middle,7,late July,131
BP,3.6,Red,Solid,0,none,none,none,7,late July,133
BP,3.6,Green,Solid,0,none,none,none,7,late July,134
BP,3.6,Red,Pattern,0,none,none,none,7,late July,135
BP,3.6,Green,Pattern,0,none,none,none,7,late July,136
BP,3.7,Green,Solid,0,none,none,none,7,late July,138
BP,3.7,Red,Pattern,1,arthropod,four,middle & end,7,late July,139
BP,3.7,Green,Pattern,0,none,none,none,7,late July,140
BP,3.8,Red,Solid,0,unknown,one,middle,7,late July,141
BP,3.8,Green,Solid,0,none,none,none,7,late July,142
BP,3.9,Red,Solid,0,none,none,none,7,late July,145
BP,3.9,Green,Solid,0,none,none,none,7,late July,146
BP,3.1,Green,Solid,0,unknown,two,middle,7,late July,150
BP,3.1,Red,Pattern,0,none,none,none,7,late July,151
BP,3.11,Red,Solid,0,none,none,none,7,late July,153
BP,3.11,Green,Solid,1,arthropod,eighteen,middle,7,late July,154
BP,3.11,Red,Pattern,0,unknown,one,end,7,late July,155
BP,3.13,Green,Solid,0,none,none,none,7,late July,162
BP,3.13,Red,Pattern,0,none,none,none,7,late July,163
BP,3.14,Red,Solid,0,none,none,none,7,late July,165
BP,3.14,Green,Solid,0,none,none,none,7,late July,166
BP,3.14,Red,Pattern,1,arthropod,two,middle,7,late July,167
BH,1.1,Red,Solid,0,none,none,none,25,early August,169
BH,1.1,Green,Solid,0,none,none,none,25,early August,170
BH,1.1,Red,Pattern,0,none,none,none,25,early August,171
BH,1.1,Green,Pattern,1,arthropod,over ten,middle,25,early August,172
BH,1.2,Red,Solid,0,none,none,none,25,early August,173
BH,1.2,Green,Solid,0,none,none,none,25,early August,174
BH,1.2,Red,Pattern,0,none,none,none,25,early August,175
BH,1.2,Green,Pattern,0,none,none,none,25,early August,176
BH,1.3,Red,Solid,0,none,none,none,25,early August,177
BH,1.3,Green,Solid,0,none,none,none,25,early August,178
BH,1.3,Red,Pattern,0,none,none,none,25,early August,179
BH,1.4,Red,Solid,0,none,none,none,25,early August,181
BH,1.4,Green,Solid,1,arthropod,one,end,25,early August,182
BH,1.4,Red,Pattern,0,none,none,none,25,early August,183
BH,1.4,Green,Pattern,0,none,none,none,25,early August,184
BH,1.5,Red,Solid,0,none,none,none,25,early August,185
BH,1.5,Green,Solid,0,unknown,three,middle & end,25,early August,186
BH,1.5,Red,Pattern,0,none,none,none,25,early August,187
BH,1.5,Green,Pattern,0,none,none,none,25,early August,188
BH,1.6,Red,Solid,0,none,none,none,25,early August,189
BH,1.6,Green,Solid,0,unknown,two,middle & end,25,early August,190
BH,1.6,Red,Pattern,0,none,none,none,25,early August,191
BH,1.7,Red,Solid,1,arthropod,one,middle,25,early August,193
BH,1.7,Red,Pattern,0,none,none,none,25,early August,195
BH,1.7,Green,Pattern,1,arthropod,one,end,25,early August,196
BH,1.8,Red,Solid,1,arthropod,one,middle,25,early August,197
BH,1.8,Green,Solid,0,none,none,none,25,early August,198
BH,1.8,Red,Pattern,0,unknown,two,middle & end,25,early August,199
BH,1.8,Green,Pattern,0,none,none,none,25,early August,200
BH,1.9,Red,Solid,0,unknown,two,middle & end,25,early August,201
BH,1.9,Green,Solid,0,unknown,one,end,25,early August,202
BH,1.9,Red,Pattern,0,none,none,none,25,early August,203
BH,1.9,Green,Pattern,0,unknown,one,middle,25,early August,204
BH,1.1,Green,Solid,0,unknown,four,middle,25,early August,206
BH,1.1,Red,Pattern,1,arthropod,one,middle,25,early August,207
BH,1.1,Green,Pattern,1,arthropod,one,end,25,early August,208
BH,1.11,Red,Solid,0,none,none,none,25,early August,209
BH,1.11,Green,Solid,0,none,none,none,25,early August,210
BH,1.11,Red,Pattern,1,arthropod,five,end,25,early August,211
BH,1.12,Red,Solid,1,arthropod,one,end,25,early August,213
BH,1.12,Green,Solid,0,none,none,none,25,early August,214
